"Gene Map Search - 'heart, ion channels, Coronary, Cardiac, cardiomyopathy, Myocardial'"										
Downloaded:	"Jan 12, 2016"									
"Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only."										
Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance (in progress)	Pheno map key	Mouse Gene (from MGI)
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		"Heart block, progressive, type IA"	113900	Autosomal dominant	3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		"Heart block, nonprogressive"	113900	Autosomal dominant	3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		"{Sudden infant death syndrome, susceptibility to}"	272120	Autosomal recessive	3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		"Cardiomyopathy, dilated, 1E"	601154	Autosomal dominant	3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		"Ventricular fibrillation, familial, 1"	603829		3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		Brugada syndrome 1	601144	Autosomal dominant	3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		Sick sinus syndrome 1	608567	Autosomal recessive	3	Scn5a
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		"Atrial fibrillation, familial, 10"	614022	Autosomal dominant	3	Scn5a
3p22.2	3:38696890-38794009	"SCN10A, FEPS2"	"Sodium channel, voltage-gated, type X, alpha subunit"	604427		"Episodic pain syndrome, familial, 2"	615551	Autosomal dominant	3	Scn10a
3p22.2	3:38845768-38953650	"SCN11A, HSAN7, FEPS3"	"Sodium channel, voltage-gated, type XI, alpha subunit"	604385		"Episodic pain syndrome, familial, 3"	615552	Autosomal dominant	3	Scn11a
3p22.2	3:38845768-38953650	"SCN11A, HSAN7, FEPS3"	"Sodium channel, voltage-gated, type XI, alpha subunit"	604385		"Neuropathy, hereditary sensory and autonomic, type VII"	615548	Autosomal dominant	3	Scn11a
3p22.2	3:39183214-39192619	"CMYA1, XIN"	Cardiomyopathy-associated protein 1	609777					Xirp1	
3p22.2	3:39263493-39281734	"CX3CR1, GPR13, V28"	Chemokine (C-X3-C) receptor 1 (G protein-coupled receptor-13)	601470		{Rapid progression to AIDS from HIV1 infection}	609423		3	Cx3cr1
3p22.2	3:39263493-39281734	"CX3CR1, GPR13, V28"	Chemokine (C-X3-C) receptor 1 (G protein-coupled receptor-13)	601470		"{Macular degeneration, age-related, 12}"	613784		3	Cx3cr1
3p22.2	3:39263493-39281734	"CX3CR1, GPR13, V28"	Chemokine (C-X3-C) receptor 1 (G protein-coupled receptor-13)	601470		"{Coronary artery disease, resistance to}"	607339		3	Cx3cr1
3p21.31	3:46857866-46863482	"MYL3, CMH8"	"Myosin, light polypeptide-3, alkali; ventricular, skeletal, slow"	160790		"Cardiomyopathy, hypertrophic, 8"	608751		3	Myl3
3p21.31	3:50362612-50504243	"CACNA2D2, KIAA0558"	"Calcium channel, voltage-dependent, alpha-2/delta subunit 2"	607082					Cacna2d2	
3p21.1	3:52451090-52454040	"TNNC1, CMD1Z, CMH13"	"Troponin-C1, slow"	191040		"Cardiomyopathy, hypertrophic, 13"	613243		3	Tnnc1
3p21.1	3:52451090-52454040	"TNNC1, CMD1Z, CMH13"	"Troponin-C1, slow"	191040		"Cardiomyopathy, dilated, 1Z"	611879		3	Tnnc1
3p21.1	3:53494975-53813150	"CACNA1D, CACNL1A2, CCHL1A2, SANDD, PASNA"	"Calcium channel, voltage-dependent, L type, alpha 1D subunit"	114206		Sinoatrial node dysfunction and deafness	614896	Autosomal recessive	3	Cacna1d
3p21.1	3:53494975-53813150	"CACNA1D, CACNL1A2, CCHL1A2, SANDD, PASNA"	"Calcium channel, voltage-dependent, L type, alpha 1D subunit"	114206		"Primary aldosteronism, seizures, and neurologic abnormalities"	615474	Autosomal dominant	3	Cacna1d
3p21.1-p14.3	3:54122592-55074556	CACNA2D3	"Calcium channel, voltage-dependent, alpha-2/delta subunit 3"	606399					Cacna2d3	
3q21.1-q21.2	3:124033338-124726324	"KALRN, HAPIP, DUO, CHDS5"	Kalirin	604605		"{Coronary heart disease, susceptibility to, 5}"	608901		3	Kalrn
3q21.2	3:124965709-125055957	"HEG1, KIAA1237"	"Heart of glass, zebrafish, homolog of, 1"	614182					Heg1	
3q23	3:142724031-142807887	"TRPC1, TRP1"	Transient receptor potential channel 1	602343	also called Htrp-1				Trpc1	
3q25.31	3:156120547-156539137	"KCNAB1, KCNA1B"	"Potassium voltage-gated channel, shaker-related subfamily, beta member 1"	601141					Kcnab1	
3q26.32	3:178536297-178844428	KCNMB2	"Potassium channel, calcium-activated, large conductance, subfamily M, beta member 2"	605214					Kcnmb2	
3q26.32	3:179239748-179267049	KCNMB3	"Potassium large conductance calcium-activated channel, subfamily M, beta member 3"	605222					Kcnmb3	
3q27.1	3:184346184-184361650	"CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT"	Chloride channel-2	600570		"{Epilepsy, juvenile absence, susceptibility to, 2}"	607628	Autosomal dominant	3	Clcn2
3q27.1	3:184346184-184361650	"CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT"	Chloride channel-2	600570		"{Epilepsy, idiopathic generalized, susceptibility to, 11}"	607628	Autosomal dominant	3	Clcn2
3q27.1	3:184346184-184361650	"CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT"	Chloride channel-2	600570		Leukoencephalopathy with ataxia	615651	Autosomal recessive	3	Clcn2
3q27.1	3:184346184-184361650	"CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT"	Chloride channel-2	600570		"{Epilepsy, juvenile myoclonic, susceptibility to, 8}"	607628	Autosomal dominant	3	Clcn2
4p16.3	4:3766568-3768525	"ADRA2C, ADRA2L2"	"Adrenergic, alpha-2C-, receptor"	104250	linked to D4S10	"{Congestive heart failure and beta-blocker response, modifier of}"			3	Adra2c
4p15.3-p15.2	4:20728605-21948800	"KCNIP4, KCHIP4"	Kv channel-interacting protein 4	608182					Kcnip4	
4p12	4:47935014-48016678	"CNGA1, CNCG1, RP49"	"Cyclic nucleotide gated channel, alpha 1"	123825		Retinitis pigmentosa 49	613756		3	Cnga1
4q25-q26	4:112818082-113383739	"ANK2, LQT4"	"Ankyrin-2, nonerythrocytic"	106410		"Cardiac arrhythmia, ankyrin-B-related"	600919	Autosomal dominant	3	
4q25-q26	4:112818082-113383739	"ANK2, LQT4"	"Ankyrin-2, nonerythrocytic"	106410		Long QT syndrome 4	600919	Autosomal dominant	3	
4q26	4:119135783-119187788	"MYOZ2, CMH16"	Myozenin 2	605602		"Cardiomyopathy, hypertrophic, 16"	613838	Autosomal dominant	3	Myoz2
4q27	4:121879027-121951890	"TRPC3, TRP3, SCA41"	"Transient receptor potential cation channel, subfamily C, member 3"	602345	mutation identified in one SCA41 patient	?Spinocerebellar ataxia 41	616410	Autosomal dominant	3	Trpc3
4q28.2	4:128874417-129093606	"SCLT1, CAP1A"	Sodium channel and clathrin linker 1	611399					Sclt1	
4q32.1	4:155829728-155866272	"ASIC5, HINAC"	Acid-sensing ion channel family member 5	616693					Asic5	
4q33	4:169620520-169723186	CLCN3	Chloride channel-3	600580					Clcn3	
4q34.1	4:173526500-173530226	"HAND2, DHAND2, DHAND"	Heart- and neural crest derivative-expressed 2	602407					Hand2	
5p15.33	5:218222-264815	"SDHA, SDH1, SDHF, CMD1GG, PGL5"	"Succinate dehydrogenase complex, subunit A, flavoprotein"	600857	copy on 3q29	Paragangliomas 5	614165	Autosomal dominant	3	Sdha
5p15.33	5:218222-264815	"SDHA, SDH1, SDHF, CMD1GG, PGL5"	"Succinate dehydrogenase complex, subunit A, flavoprotein"	600857	copy on 3q29	Mitochondrial respiratory chain complex II deficiency	252011	Autosomal recessive	3	Sdha
5p15.33	5:218222-264815	"SDHA, SDH1, SDHF, CMD1GG, PGL5"	"Succinate dehydrogenase complex, subunit A, flavoprotein"	600857	copy on 3q29	Leigh syndrome	256000	Autosomal recessive; Mitochondrial	3	Sdha
5p15.33	5:218222-264815	"SDHA, SDH1, SDHF, CMD1GG, PGL5"	"Succinate dehydrogenase complex, subunit A, flavoprotein"	600857	copy on 3q29	"Cardiomyopathy, dilated, 1GG"	613642		3	Sdha
5p12	5:45254949-45696117	"HCN1, BCNG1, EIEE24"	Hyperpolarization-activated cyclic nucleotide-gated potassium channel 1	602780		"Epileptic encephalopathy, early infantile, 24"	615871	Autosomal dominant	3	Hcn1
5q14.1	5:79689835-79800225	"CMYA5, MYOSPRYN, TRIM76"	Cardiomyopathy-associated protein 5	612193						
5q22.3	5:114056005-114496499	"KCNN2, SK2"	"Potassium channel, calcium-activated, intermediate/small conductance, subfamily N, member 2"	605879						
5q31.1	5:133971874-134005388	VDAC1	Voltage-dependent anion channel 1	604492					Vdac1	
5q31.1	5:134967905-135011706	"CATSPER3, CACRC"	"Cation channel, sperm-associated, 3"	609120					Catsper3	
5q31.3	5:144170759-144485685	"KCTD16, KIAA1317"	Potassium channel tetramerization domain-containing 16	613423					Kctd16	
5q33.2-q33.3	5:156117933-156767787	"SGCD, SGD, LGMD2F, CMD1L"	"Sarcoglycan, delta (35kD dystrophin-associated glycoprotein)"	601411	mutant in Syrian hamster cardiomyopathy	"Cardiomyopathy, dilated, 1L"	606685		3	Sgcd
5q33.2-q33.3	5:156117933-156767787	"SGCD, SGD, LGMD2F, CMD1L"	"Sarcoglycan, delta (35kD dystrophin-associated glycoprotein)"	601411	mutant in Syrian hamster cardiomyopathy	"Muscular dystrophy, limb-girdle, type 2F"	601287		3	Sgcd
5q35.1	5:170378160-170389676	KCNMB1	"Potassium large conductance calcium-activated channel, subfamily M, beta member 1"	603951		"{Hypertension, diastolic, resistance to}"	608622	Autosomal dominant	3	Kcnmb1
5q35.1	5:173232103-173235311	"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2"	NK2 homeobox-5 gene	600584	near border with 5q35	Tetrology of Fallot	187500	Autosomal dominant	3	Nkx2-5
5q35.1	5:173232103-173235311	"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2"	NK2 homeobox-5 gene	600584	near border with 5q35	"Hypothyroidism, congenital nongoitrous, 5"	225250	Autosomal dominant	3	Nkx2-5
5q35.1	5:173232103-173235311	"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2"	NK2 homeobox-5 gene	600584	near border with 5q35	Hypoplastic left heart syndrome 2	614435	Autosomal dominant	3	Nkx2-5
5q35.1	5:173232103-173235311	"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2"	NK2 homeobox-5 gene	600584	near border with 5q35	"Conotruncal heart malformations, variable"	217095		3	Nkx2-5
5q35.1	5:173232103-173235311	"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2"	NK2 homeobox-5 gene	600584	near border with 5q35	"Atrial septal defect 7, with or without AV conduction defects"	108900	Autosomal dominant	3	Nkx2-5
5q35.1	5:173232103-173235311	"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2"	NK2 homeobox-5 gene	600584	near border with 5q35	Ventricular septal defect 3	614432	Autosomal dominant	3	Nkx2-5
6p25.1	6:6144077-6321012	"F13A1, F13A"	"Coagulation factor XIII, A polypeptide"	134570		"{Venous thrombosis, protection against}"	188050	Autosomal dominant	3	F13a1
6p25.1	6:6144077-6321012	"F13A1, F13A"	"Coagulation factor XIII, A polypeptide"	134570		"{Myocardial infarction, protection against}"	608446		3	F13a1
6p25.1	6:6144077-6321012	"F13A1, F13A"	"Coagulation factor XIII, A polypeptide"	134570		Factor XIIIA deficiency	613225	Autosomal recessive	3	F13a1
6p24.3	6:7541574-7586712	"DSP, KPPS2, PPKS2, DCWHKTA"	Desmoplakin	125647	splice variants result in DP I and DP II	"Epidermolysis bullosa, lethal acantholytic"	609638	Autosomal recessive	3	Dsp
6p24.3	6:7541574-7586712	"DSP, KPPS2, PPKS2, DCWHKTA"	Desmoplakin	125647	splice variants result in DP I and DP II	"Dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis"	615821	Autosomal dominant	3	Dsp
6p24.3	6:7541574-7586712	"DSP, KPPS2, PPKS2, DCWHKTA"	Desmoplakin	125647	splice variants result in DP I and DP II	"Cardiomyopathy, dilated, with woolly hair and keratoderma"	605676	Autosomal recessive	3	Dsp
6p24.3	6:7541574-7586712	"DSP, KPPS2, PPKS2, DCWHKTA"	Desmoplakin	125647	splice variants result in DP I and DP II	Arrhythmogenic right ventricular dysplasia 8	607450	Autosomal dominant	3	Dsp
6p24.3	6:7541574-7586712	"DSP, KPPS2, PPKS2, DCWHKTA"	Desmoplakin	125647	splice variants result in DP I and DP II	Skin fragility-woolly hair syndrome	607655	Autosomal recessive	3	Dsp
6p24.3	6:7541574-7586712	"DSP, KPPS2, PPKS2, DCWHKTA"	Desmoplakin	125647	splice variants result in DP I and DP II	Keratosis palmoplantaris striata II	612908		3	Dsp
6p21.33	6:31560549-31574323	"LTA, TNFB"	Lymphotoxin alpha (formerly tumor necrosis factor beta)	153440	cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B	"{Myocardial infarction, susceptibility to}"	608446		3	Lta
6p21.33	6:31560549-31574323	"LTA, TNFB"	Lymphotoxin alpha (formerly tumor necrosis factor beta)	153440	cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B	"{Leprosy, susceptibility to, 4}"	610988		3	Lta
6p21.33	6:31560549-31574323	"LTA, TNFB"	Lymphotoxin alpha (formerly tumor necrosis factor beta)	153440	cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B	"{Psoriatic arthritis, susceptibility to}"	607507		3	Lta
6p21.31	6:36442766-36491142	KCTD20	Potassium channel tetramerization domain-containing protein 20	615932					Kctd20	
6p21.2	6:39188970-39229474	"KCNK5, TASK2"	"Potassium channel, subfamily K, member 5"	603493					Kcnk5	
6p21.2	6:39299000-39314460	"KCNK17, TASK4, TALK2"	"Potassium channel, subfamily K, member 17"	607370						
6p21.2	6:39314697-39322984	"KCNK16, TALK1"	"Potassium channel, subfamily K, member 16"	607369					Kcnk16	
6p21.1	6:45898450-46080347	"CLIC5, DFNB103"	Chloride intracellular channel 5	607293	mutation identified in 1 DFNB103 family	"?Deafness, autosomal recessive 103"	616042	Autosomal recessive	3	Clic5
6p12.1	6:53497340-53545128	"GCLC, GLCLC"	"Glutamate-cysteine ligase, catalytic subunit"	606857		"{Myocardial infarction, susceptibility to}"	608446		3	Gclc
6p12.1	6:53497340-53545128	"GCLC, GLCLC"	"Glutamate-cysteine ligase, catalytic subunit"	606857		Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency	230450	Autosomal recessive	3	Gclc
6q12-q16	6:62700000-105000000	CMD1K	"Cardiomyopathy, dilated, 1K"	605582		"Cardiomyopathy, dilated, 1K"	605582		2	
6q13	6:72621279-73198850	KCNQ5	"Potassium channel, voltage-gated, KQT-like subfamily, member 5"	607357					Kcnq5	
6q14.1	6:75749175-75919536	"MYO6, DFNA22, DFNB37"	Myosin VI	600970		"Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy"	606346	Autosomal dominant	3	Myo6
6q14.1	6:75749175-75919536	"MYO6, DFNA22, DFNB37"	Myosin VI	600970		"Deafness, autosomal dominant 22"	606346	Autosomal dominant	3	Myo6
6q14.1	6:75749175-75919536	"MYO6, DFNA22, DFNB37"	Myosin VI	600970		"Deafness, autosomal recessive 37"	607821	Autosomal recessive	3	Myo6
6q21	6:112107930-112254721	"LAMA4, LAMA3, CMD1JJ"	"Laminin, alpha-4"	600133		"Cardiomyopathy, dilated, 1JJ"	615235	Autosomal dominant	3	Lama4
6q22.31	6:118548278-118560423	"PLN, PLB, CMD1P, CMH18"	Phospholamban	172405		"Cardiomyopathy, dilated, 1P"	609909		3	
6q22.31	6:118548278-118560423	"PLN, PLB, CMD1P, CMH18"	Phospholamban	172405		"Cardiomyopathy, hypertrophic, 18"	613874	Autosomal dominant	3	
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	"Craniometaphyseal dysplasia, autosomal recessive"	218400	Autosomal recessive	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	Palmoplantar keratoderma with congenital alopecia	104100	Autosomal dominant	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	Atrioventricular septal defect 3	600309	Autosomal dominant	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	"Oculodentodigital dysplasia, autosomal recessive"	257850	Autosomal recessive	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	Oculodentodigital dysplasia	164200	Autosomal dominant	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	Hypoplastic left heart syndrome 1	241550	Autosomal recessive	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	Erythrokeratodermia variabilis et progressiva	133200	Autosomal recessive; Autosomal dominant	3	Gja1
6q22.31	6:121435576-121449743	"GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP"	"Gap junction protein, alpha-1, 43kD (connexin 43)"	121014	pseudogene on chr.5	"Syndactyly, type III"	186100	Autosomal dominant	3	Gja1
6q23	6:130000000-138300000	"CMD1F, CDCD3, LGMD1D"	"Cardiomyopathy, dilated-1F, autosomal dominant"	602067		"Cardiomyopathy, dilated, 1F and limb-girdle muscular dystrophy type 1D"	602067		2	
6q23.2	6:133241334-133532119	"EYA4, DFNA10, CMD1J"	"Eyes absent, Drosophila, homolog of, 4"	603550		"Deafness, autosomal dominant 10"	601316	Autosomal dominant	3	Eya4
6q23.2	6:133241334-133532119	"EYA4, DFNA10, CMD1J"	"Eyes absent, Drosophila, homolog of, 4"	603550		"Cardiomyopathy, dilated, 1J"	605362		3	Eya4
6q25.1	6:149217923-149411612	"TAB2, MAP3K7IP2, KIAA0733, CHTD2"	TGF-beta activated kinase 1/MAP3K7-binding protein 2	605101		"Congenital heart defects, nonsyndromic, 2"	614980	Autosomal dominant	3	Tab2
6q25.1-q25.2	6:151690495-152103273	"ESR1, ESR, ESTRR"	Estrogen receptor 1	133430		"{HDL response to hormone replacement, augmented}"			3	Esr1
6q25.1-q25.2	6:151690495-152103273	"ESR1, ESR, ESTRR"	Estrogen receptor 1	133430		{Breast cancer}	114480	Autosomal dominant	1	Esr1
6q25.1-q25.2	6:151690495-152103273	"ESR1, ESR, ESTRR"	Estrogen receptor 1	133430		"{Atherosclerosis, susceptibility to}"			3	Esr1
6q25.1-q25.2	6:151690495-152103273	"ESR1, ESR, ESTRR"	Estrogen receptor 1	133430		Estrogen resistance	615363	Autosomal recessive	3	Esr1
6q25.1-q25.2	6:151690495-152103273	"ESR1, ESR, ESTRR"	Estrogen receptor 1	133430		"{Myocardial infarction, susceptibility to}"	608446		3	Esr1
6q25.1-q25.2	6:151690495-152103273	"ESR1, ESR, ESTRR"	Estrogen receptor 1	133430		"{Migraine, susceptibility to}"	157300	Autosomal dominant	3	Esr1
6q25-q26	6:160531482-160666374	LPA	Apolipoprotein Lp(a)	152200	absent in mice	"{Coronary artery disease, susceptibility to}"			1	
6q25-q26	6:160531482-160666374	LPA	Apolipoprotein Lp(a)	152200	absent in mice	"[LPA deficiency, congenital]"			3	
7p14.3	7:30911799-30925515	"AQP1, CHIP28, CO"	"Aquaporin-1 (channel-forming integral protein, 28kD)"	107776		"[Blood group, Colton]"	110450		3	Aqp1
7p14.3	7:30911799-30925515	"AQP1, CHIP28, CO"	"Aquaporin-1 (channel-forming integral protein, 28kD)"	107776		[Aquaporin-1 deficiency]			3	Aqp1
7p12.1-q21	7:50500000-98400000	CMH21	"Cardiomyopathy, familial hypertrophic, 21"	614676	max lod at D7S669	"Cardiomyopathy, hypertrophic, 21"	614676	Autosomal dominant	2	
7q11.21	7:66628880-66643228	"KCTD7, EPM3, CLN14"	Potassium channel tetramerization domain containing 7	611725		"Epilepsy, progressive myoclonic 3, with or without intracellular inclusions"	611726	Autosomal recessive	3	Kctd7
7q21.11	7:80602187-80679276	"CD36, CHDS7, BDPLT10"	CD36 antigen (collagen type I)	173510		"{Malaria, cerebral, reduced risk of}"	611162		3	Cd36
7q21.11	7:80602187-80679276	"CD36, CHDS7, BDPLT10"	CD36 antigen (collagen type I)	173510		"{Coronary heart disease, susceptibility to, 7}"	610938		3	Cd36
7q21.11	7:80602187-80679276	"CD36, CHDS7, BDPLT10"	CD36 antigen (collagen type I)	173510		[Macrothrombocytopenia]			1	Cd36
7q21.11	7:80602187-80679276	"CD36, CHDS7, BDPLT10"	CD36 antigen (collagen type I)	173510		Platelet glycoprotein IV deficiency	608404	Autosomal recessive	3	Cd36
7q21.11	7:80602187-80679276	"CD36, CHDS7, BDPLT10"	CD36 antigen (collagen type I)	173510		"{Malaria, cerebral, susceptibility to}"	611162		3	Cd36
7q21.11	7:81946443-82443805	"CACNA2, CACNL2A"	"Calcium channel, voltage-dependent, L type, alpha 2/delta subunit"	114204					Cacna2d1	
7q21.2	7:92447447-92491327	"GATAD1, ODAG, CMD2B"	GATA zinc finger domain-containing protein 1	614518	mutation identified in 1 GATAD1 family	"?Cardiomyopathy, dilated, 2B"	614672	Autosomal recessive	3	Gatad1
7q21.3	7:94394560-94431231	COL1A2	"Collagen I, alpha-2 polypeptide"	120160	~17cM from CF	"Osteogenesis imperfecta, type II"	166210	Autosomal dominant	3	Col1a2
7q21.3	7:94394560-94431231	COL1A2	"Collagen I, alpha-2 polypeptide"	120160	~17cM from CF	"Ehlers-Danlos syndrome, type VIIB"	130060	Autosomal dominant	3	Col1a2
7q21.3	7:94394560-94431231	COL1A2	"Collagen I, alpha-2 polypeptide"	120160	~17cM from CF	"Ehlers-Danlos syndrome, cardiac valvular form"	225320	Autosomal recessive	3	Col1a2
7q21.3	7:94394560-94431231	COL1A2	"Collagen I, alpha-2 polypeptide"	120160	~17cM from CF	"{Osteoporosis, postmenopausal}"	166710	Autosomal dominant	3	Col1a2
7q21.3	7:94394560-94431231	COL1A2	"Collagen I, alpha-2 polypeptide"	120160	~17cM from CF	"Osteogenesis imperfecta, type IV"	166220	Autosomal dominant	3	Col1a2
7q21.3	7:94394560-94431231	COL1A2	"Collagen I, alpha-2 polypeptide"	120160	~17cM from CF	"Osteogenesis imperfecta, type III"	259420	Autosomal dominant	3	Col1a2
7q21.3	7:95298356-95324571	"PON1, PON, ESA, MVCD5"	Paraoxonase-1	168820		"{Organophosphate poisoning, sensitivity to}"			3	Pon1
7q21.3	7:95298356-95324571	"PON1, PON, ESA, MVCD5"	Paraoxonase-1	168820		{Microvascular complications of diabetes 5}	612633		3	Pon1
7q21.3	7:95298356-95324571	"PON1, PON, ESA, MVCD5"	Paraoxonase-1	168820		"{Coronary artery spasm 2, susceptibility to"			3	Pon1
7q21.3	7:95298356-95324571	"PON1, PON, ESA, MVCD5"	Paraoxonase-1	168820		"{Coronary artery disease, susceptibility to}"			3	Pon1
7q21.3	7:95404861-95435071	PON2	Paraoxonase-2	602447		"{Coronary artery disease, susceptibility to}"			3	Pon2
7q22.3-q31.1	7:104900000-115000000	CMD1Q	"Cardiomyopathy, dilated, 1Q"	609915	between D7S2545 and D7S2554	"Cardiomyopathy, dilated, 1Q"	609915		2	
7q31.31	7:120273640-120750332	"KCND2, KIAA1044"	"Potassium voltage-gated channel, Shal-related subfamily, member 2"	605410					Kcnd2	
7q34	7:142871202-142885744	"TRPV6, ECAC2, CAT1, CATL"	"Transient receptor potential cation channel, subfamily V, member 6"	606680					Trpv6	
7q34	7:142908100-142933722	"TRPV5, ECAC1, CAT2"	"Transient receptor potential cation channel, subfamily V, member 5"	606679					Trpv5	
7q34	7:143316125-143353861	CLCN1	"Chloride channel-1, skeletal muscle"	118425		"Myotonia levior, recessive"			3	Clcn1
7q34	7:143316125-143353861	CLCN1	"Chloride channel-1, skeletal muscle"	118425		"Myotonia congenita, recessive"	255700	Autosomal recessive	3	Clcn1
7q34	7:143316125-143353861	CLCN1	"Chloride channel-1, skeletal muscle"	118425		"Myotonia congenita, dominant"	160800	Autosomal dominant	3	Clcn1
7q35	7:143620951-143730079	"TCAF2, FAM115C, FAM139A"	TRPM8 channel-associated factor 2	616252					Tcaf2	
7q35	7:143851367-143902197	"TCAF1, FAM115A, KIAA0738"	TRPM8 channel-associated factor 1	616251					Tcaf1	
7q36.1	7:150944955-150978313	"KCNH2, LQT2, HERG, SQT1"	"Potassium voltage-gated channel, subfamily H, member 2 (human ether-a-go-go-related gene)"	152427		"{Long QT syndrome 2, acquired, susceptibility to}"	613688	Autosomal dominant	3	Kcnh2
7q36.1	7:150944955-150978313	"KCNH2, LQT2, HERG, SQT1"	"Potassium voltage-gated channel, subfamily H, member 2 (human ether-a-go-go-related gene)"	152427		Short QT syndrome 1	609620		3	Kcnh2
7q36.1	7:150944955-150978313	"KCNH2, LQT2, HERG, SQT1"	"Potassium voltage-gated channel, subfamily H, member 2 (human ether-a-go-go-related gene)"	152427		Long QT syndrome 2	613688	Autosomal dominant	3	Kcnh2
7q36.1	7:150991055-151014598	NOS3	"Nitric oxide synthase 3, endothelial cell"	163729		"{Hypertension, pregnancy-induced}"	189800	Autosomal dominant	3	Nos3
7q36.1	7:150991055-151014598	NOS3	"Nitric oxide synthase 3, endothelial cell"	163729		"{Coronary artery spasm 1, susceptibility to}"			3	Nos3
7q36.1	7:150991055-151014598	NOS3	"Nitric oxide synthase 3, endothelial cell"	163729		"{Alzheimer disease, late-onset, susceptibility to}"	104300	Autosomal dominant	3	Nos3
7q36.1	7:150991055-151014598	NOS3	"Nitric oxide synthase 3, endothelial cell"	163729		{Placental abruption}			3	Nos3
