Disease/Trait	Reported Gene(s)	Mapped_gene	Chr_pos	Reported Gene(s)	Strongest SNP-Risk Allele	SNPs
Heart rate	GNB4	GNB4 - MTHFD2P7	179455191	GNB4	rs7612445-G	rs7612445
Heart rate	FLRT2	RNU3P3 - LINC00911	85343567	FLRT2	rs17796783-T	rs17796783
Heart rate	CHRM2	"CHRM2, LOC349160"	136957887	CHRM2	rs2350782-C	rs2350782
Heart rate	NKX2-5	NKX2-5	173237160	NKX2-5	rs6882776-G	rs6882776
Heart rate	B3GNT7	B3GNT7 - ZBTB8OSP2	231406573	B3GNT7	rs13030174-A	rs13030174
Heart rate	RFX4	"RFX4, LOC100287944"	106755644	RFX4	rs2067615-A	rs2067615
Heart rate	GJA1	GJA1 - SLC25A5P7	121460244	GJA1	rs11154027-C	rs11154027
Heart rate	GJA1	HMGN2P29 - GJA1	121409576	GJA1	rs17083533-A	rs17083533
Heart rate	CD34	CD34 - PLXNA2	207955720	CD34	rs11578508-A	rs11578508
Electrocardiographic traits	RPL21	RASL11A - GTF3A	27305389	RPL21	rs10507380-?	rs10507380
Electrocardiographic traits	intergenic	HNRNPKP2 - UBBP1	136218685	intergenic	rs882300-?	rs882300
QRS duration	"SLC25A26, LRIG1"	LRIG1	66381178	"SLC25A26, LRIG1"	rs2242285-A	rs2242285
QRS duration	DKK1	PRKRIRP3 - MBL2	52464217	DKK1	rs1733724-A	rs1733724
QRS duration	GOSR2	GOSR2	46935905	GOSR2	rs17608766-C	rs17608766
QRS duration	SCN5A	SCN5A	38616408	SCN5A	rs11710077-T	rs11710077
Atrioventricular conduction	SCN10A	SCN10A	38733341	SCN10A	rs6800541-C	rs6800541
Atrioventricular conduction	"CH25H, FAS"	MIR4679-1 - CH25H	89067022	"CH25H, FAS"	rs1937332-G	rs1937332
Atrioventricular conduction	"C18orf20, LOC643448"	LINC00305 - CDH7	65364000	"C18orf20, LOC643448"	rs470490-G	rs470490
Atrioventricular conduction	intergenic	LOC101927156	181397142	intergenic	rs7602460-A	rs7602460
Atrioventricular conduction	"RNF19A, ANKRD46"	RNF19A	100317981	"RNF19A, ANKRD46"	rs1371867-C	rs1371867
QRS duration	SCN10A	SCN10A	38725824	SCN10A	rs6801957-T	rs6801957
QRS duration	SCN5A	SCN5A	38592432	SCN5A	rs11708996-C	rs11708996
QRS duration	CDKN1A	MIR3925 - PANDAR	36655602	CDKN1A	rs9470361-A	rs9470361
QRS duration	TBX5	TBX5	114355435	TBX5	rs883079-C	rs883079
QRS duration	IGFBP3	TTC4P1 - HMGN1P19	46580547	IGFBP3	rs7784776-G	rs7784776
QRS duration	KLF12	KLF12	73946049	KLF12	rs1886512-A	rs1886512
Cardiovascular heart disease in diabetics	"GLUL, ZNF648"	ZNF648 - LINC01344	182112825	"GLUL, ZNF648"	rs10911021-C	rs10911021
Congenital left-sided heart lesions	SYNPR	"SYNPR, SYNPR-AS1"	63453210	SYNPR	rs1975649-?	rs1975649
Congenital left-sided heart lesions	GJD2	MIR1233-2 - GJD2	34684669	GJD2	rs6495706-?	rs6495706
Congenital left-sided heart lesions	AC136285.1	FOXL1 - RPL39P30	87159478	AC136285.1	rs8061121-?	rs8061121
Congenital left-sided heart lesions (maternal effect)	ZNF438	SVILP1 - ZNF438	30753565	ZNF438	rs11008222-?	rs11008222
Cardiac hypertrophy	COL17A1	COL17A1	104086316	COL17A1	rs1320448-?	rs1320448
Cardiac hypertrophy	ESRRG	ESRRG	216543195	ESRRG	rs12757165-?	rs12757165
Cardiac hypertrophy	SLC2A1	SLC2A1-AS1 - FAM183A	43130713	SLC2A1	rs16830359-?	rs16830359
Cardiac hypertrophy	TRIM38	TRIM31-AS1 - TRIM40	30125587	TRIM38	rs10947055-?	rs10947055
Cardiac hypertrophy	ZWINT	MTRNR2L5 - GAPDHP21	55657201	ZWINT	rs1916521-?	rs1916521
Cardiac hypertrophy	NRG3	FARSBP1 - WARS2P1	80939735	NRG3	rs1484170-?	rs1484170
Cardiac hypertrophy	CA8	NUDT15P1 - CA8	60091338	CA8	rs6995588-?	rs6995588
Cardiac hypertrophy	GRIK2	GRIK2 - R3HDM2P2	103984290	GRIK2	rs4520040-?	rs4520040
Cardiac hypertrophy	DPPA4	LINC01205	109485566	DPPA4	rs769554-?	rs769554
Cardiac hypertrophy	SOX4	NBAT1 - PRL	22246375	SOX4	rs4236016-?	rs4236016
Cardiac hypertrophy	UBE3A	UBE3A - ATP10A	25667192	UBE3A	rs17636733-?	rs17636733
Cardiac hypertrophy	HTR2A	GNG5P5 - NAP1L4P3	47624581	HTR2A	rs1575891-?	rs1575891
Cardiac hypertrophy	RAF1	RAF1	12585017	RAF1	rs3729931-?	rs3729931
Cardiac hypertrophy	PLXNA2	PLXNA2 - RPS26P13	208584241	PLXNA2	rs17259784-?	rs17259784
Cardiac hypertrophy	FGF1	FGF1	142638295	FGF1	rs152528-?	rs152528
Cardiac hypertrophy	FAM19A2	SLC16A7 - PGBD3P1	60403922	FAM19A2	rs10506410-?	rs10506410
Cardiac hypertrophy	C15orf54	C15orf53 - C15orf54	39023157	C15orf54	rs12907914-?	rs12907914
Cardiac hypertrophy	"C20orf94, BTBD3, SNAP25, MKK5, JAG1"	FAT1P1 - RPS11P1	11194255	"C20orf94, BTBD3, SNAP25, MKK5, JAG1"	rs2207418-?	rs2207418
Cardiac hypertrophy	PHF11	PHF11	49506711	PHF11	rs2031532-?	rs2031532
Myocardial infarction	"CDKN2A, CDKN2B"	UBA52P6 - DMRTA1	22124478	"CDKN2A, CDKN2B"	rs10757278-G	rs10757278
Myocardial infarction	intergenic	IRX1 - LINC01020	4029676	intergenic	rs11748327-?	rs11748327
Myocardial infarction (early onset)	"CDKN2A, CDKN2B"	CDKN2B-AS1	22098575	"CDKN2A, CDKN2B"	rs4977574-G	rs4977574
Myocardial infarction (early onset)	"CELSR2, PSRC1, SORT1"	CELSR2	109275908	"CELSR2, PSRC1, SORT1"	rs646776-T	rs646776
Myocardial infarction (early onset)	MIA3	MIA3	222650187	MIA3	rs17465637-C	rs17465637
Myocardial infarction (early onset)	CXCL12	LINC00841 - CXCL12	44280376	CXCL12	rs1746048-C	rs1746048
Myocardial infarction (early onset)	"SLC5A3, KCNE2, MRPS6"	LINC00310 - KCNE2	34226827	"SLC5A3, KCNE2, MRPS6"	rs9982601-T	rs9982601
Myocardial infarction (early onset)	PHACTR1	PHACTR1	12927312	PHACTR1	rs12526453-C	rs12526453
Myocardial infarction (early onset)	WDR12	WDR12	202881162	WDR12	rs6725887-C	rs6725887
Myocardial infarction (early onset)	LDLR	SMARCA4	11052925	LDLR	rs1122608-G	rs1122608
Myocardial infarction (early onset)	PCSK9	BSND - PCSK9	55030366	PCSK9	rs11206510-T	rs11206510
Myocardial infarction	PLCL2	PLCL2	17082892	PLCL2	rs4618210-G	rs4618210
Myocardial infarction	"AP3D1, SF3A2, DOT1L"	AP3D1 - DOT1L	2160530	"AP3D1, SF3A2, DOT1L"	rs3803915-C	rs3803915
Myocardial infarction	intergenic	CDKN2B-AS1	22098575	intergenic	rs4977574-C	rs4977574
Myocardial infarction	ALDH2	BRAP	111672685	ALDH2	rs3782886-A	rs3782886
QRS duration	"SCN5A, SCN10A"	SCN5A - SCN10A	38678444	"SCN5A, SCN10A"	rs9851724-C	rs9851724
QRS duration	"RNF11, CDKN2C, FAF1, C1orf185"	C1orf185	51080468	"RNF11, CDKN2C, FAF1, C1orf185"	rs17391905-G	rs17391905
Atrial fibrillation	intergenic	LRRC63	46259582	intergenic	rs958546-?	rs958546
Atrial fibrillation	intergenic	RPLP1 - GEMIN8P1	69714534	intergenic	rs4776472-?	rs4776472
Atrial fibrillation	CNTN5	CNTN5	99622442	CNTN5	rs10501920-?	rs10501920
Exercise treadmill test traits	NOLA1	LRIT3 - KRT19P3	109878941	NOLA1	rs6847149-?	rs6847149
Exercise treadmill test traits	RYR2	RYR2	237747704	RYR2	rs2819770-?	rs2819770
Exercise treadmill test traits	intergenic	ZC3H12C	110125219	intergenic	rs746463-?	rs746463
Exercise treadmill test traits	WRN	WRN	31078840	WRN	rs2553268-?	rs2553268
Dilated cardiomyopathy	BAG3	BAG3	119670121	BAG3	rs2234962-?	rs2234962
Dilated cardiomyopathy	ZBTB17	ZBTB17	15972817	ZBTB17	rs10927875-?	rs10927875
Coronary spasm	intergenic	CLEC14A - KRT8P1	38551301	intergenic	rs10498345-T	rs10498345
Blood pressure	intergenic	ATG4C - LINC00466	63125458	intergenic	rs10493340-?	rs10493340
Blood pressure	intergenic	TRPA1 - RNA5SP271	72194681	intergenic	rs1963982-?	rs1963982
Blood pressure	intergenic	IFT43 - GPATCH2L	76147335	intergenic	rs935334-?	rs935334
Coronary artery calcification	intergenic	ZNF326 - BARHL2	90478350	intergenic	rs2390582-?	rs2390582
Coronary artery calcification	NUMB	NUMB	73289591	NUMB	rs10483853-?	rs10483853
Echocardiographic traits	SLIT2	SLIT2	20619060	SLIT2	rs1379659-?	rs1379659
Endothelial function traits	OBFC1	OBFC1	103887337	OBFC1	rs3814219-?	rs3814219
Echocardiographic traits	SLIT2	SLIT2	20493512	SLIT2	rs666088-?	rs666088
Echocardiographic traits	KCNB2	KCNB2	72866407	KCNB2	rs10504543-?	rs10504543
Echocardiographic traits	FAM5C	BRINP3	190097256	FAM5C	rs1935881-?	rs1935881
Echocardiographic traits	intergenic	MIR4268 - EPHA4	221034724	intergenic	rs10498091-?	rs10498091
Echocardiographic traits	PDE4B	PDE4B	65845182	PDE4B	rs10493389-?	rs10493389
Echocardiographic traits	intergenic	RBBP4P6 - RPL5P17	85310710	intergenic	rs4920799-?	rs4920799
Coronary artery calcification	DRIM	UTP20	101360176	DRIM	rs10507130-?	rs10507130
Blood pressure	CNTN4	CNTN4	2613007	CNTN4	rs4370013-?	rs4370013
Blood pressure	CAMK4	CAMK4	111436706	CAMK4	rs10491334-?	rs10491334
Blood pressure	C14orf118	GPATCH2L	76184421	C14orf118	rs2121070-?	rs2121070
Blood pressure	intergenic	AKIRIN2 - SPACA1	87942862	intergenic	rs2509458-?	rs2509458
Blood pressure	"CCL20, WDR69"	CCL20 - TDGF1P2	227850659	"CCL20, WDR69"	rs7591163-?	rs7591163
Blood pressure	CDH13	CDH13	83730599	CDH13	rs3096277-?	rs3096277
Cardiovascular disease risk factors	"HERPUD1, CETP"	HERPUD1 - CETP	56955678	"HERPUD1, CETP"	rs247616-T	rs247616
Cardiovascular disease risk factors	APOE	APOC1	44912383	APOE	rs445925-G	rs445925
Cardiovascular disease risk factors	IL1RAPL1	IL1RAPL1	29622701	IL1RAPL1	rs7890572-G	rs7890572
Cardiovascular disease risk factors	"CADM1, APOA5, BUD13"	RPL15P15 - BUD13	116742944	"CADM1, APOA5, BUD13"	rs12280753-T	rs12280753
Cardiovascular disease risk factors	"APCDD1L, STX16"	APCDD1L-AS1	58589799	"APCDD1L, STX16"	rs127430-G	rs127430
Cardiovascular disease risk factors	"SORL1, BLID"	SORL1 - MIR100HG	122083949	"SORL1, BLID"	rs7121446-G	rs7121446
Electrocardiographic conduction measures	SCN5A	SCN5A	38553482	SCN5A	rs7638909-G	rs7638909
Electrocardiographic conduction measures	intergenic	RPS15AP14 - EXTL2P1	175424591	intergenic	rs2461751-G	rs2461751
Electrocardiographic conduction measures	SCN5A	XYLB	38400999	SCN5A	rs2070488-A	rs2070488
Electrocardiographic conduction measures	MSX1	STK32B	5219811	MSX1	rs2008242-?	rs2008242
Electrocardiographic conduction measures	NR	DDX59 - CAMSAP2	200703778	NR	rs7512898-?	rs7512898
Electrocardiographic conduction measures	NR	SFRP2	153782444	NR	rs17030434-?	rs17030434
Electrocardiographic conduction measures	NR	FTH1P5 - RPS15AP20	51091008	NR	rs283566-?	rs283566
Electrocardiographic traits	SCN10A	SCN10A	38725184	SCN10A	rs6795970-A	rs6795970
Electrocardiographic traits	ARHGAP24	ARHGAP24	85730311	ARHGAP24	rs7660702-T	rs7660702
Electrocardiographic traits	SCN10A	SCN10A	38725184	SCN10A	rs6795970-A	rs6795970
Electrocardiographic traits	CDKN1A	MIR3925 - PANDAR	36655123	CDKN1A	rs1321311-T	rs1321311
Electrocardiographic traits	CAV1	CAV1	116546187	CAV1	rs3807989-A	rs3807989
Electrocardiographic traits	DKK1	PRKRIRP3 - MBL2	52464217	DKK1	rs1733724-T	rs1733724
Electrocardiographic traits	TBX5	TBX5	114357638	TBX5	rs3825214-G	rs3825214
Electrocardiographic traits	TBX5	TBX5	114357638	TBX5	rs3825214-G	rs3825214
Electrocardiographic traits	TBX5	TBX5	114357638	TBX5	rs3825214-G	rs3825214
Electrocardiographic traits	NOS1AP	NOS1AP	162115895	NOS1AP	rs10494366-G	rs10494366
Electrocardiographic traits	SCN5A	SCN5A	38547672	SCN5A	rs11129795-G	rs11129795
Electrocardiographic traits	SCN5A	SCN5A	38551902	SCN5A	rs12053903-T	rs12053903
Electrocardiographic traits	C6orf204	RPL29P4 - CEP85L	118359211	C6orf204	rs11970286-T	rs11970286
Electrocardiographic traits	KCNH2	KCNH2	150970122	KCNH2	rs3807375-T	rs3807375
Electrocardiographic traits	KCNQ1	KCNQ1	2468112	KCNQ1	rs12296050-T	rs12296050
Electrocardiographic traits	NDRG4	CNOT1	58533334	NDRG4	rs37062-A	rs37062
Electrocardiographic traits	KCNE1	KCNE1	34507774	KCNE1	rs727957-T	rs727957
Bilirubin levels	UGT1A	"UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3"	233759924	UGT1A	rs887829-T	rs887829
Venous thromboembolism	F5	F5	169511985	F5	rs6427196-C	rs6427196
Venous thromboembolism	ABO	ABO	133261662	ABO	rs687621-G	rs687621
Venous thromboembolism	F11	F11	186266940	F11	rs4253399-G	rs4253399
Venous thromboembolism	FGG	FGG - LRAT	154622217	FGG	rs6536024-C	rs6536024
Venous thromboembolism	CNTN6	RPSAP32 - CNTN6	1004354	CNTN6	rs6764623-C	rs6764623
Venous thromboembolism	SUSD1	SUSD1	112060841	SUSD1	rs4979078-C	rs4979078
Venous thromboembolism	OTUD7A	OTUD7A	31501727	OTUD7A	rs7164569-A	rs7164569
Venous thromboembolism	SV2C	SV2C	76326989	SV2C	rs3733860-A	rs3733860
Metabolite levels (Pyroglutamine)	RELN	RELN	103534997	RELN	rs1008126-C	rs1008126
Metabolite levels (Pyroglutamine)	BNC2	BNC2	16512750	BNC2	rs10124550-A	rs10124550
Metabolite levels (Pyroglutamine)	LOC402233	ATP6V1G1P5 - SLC36A1	151366473	LOC402233	rs10463316-A	rs10463316
Metabolite levels (Pyroglutamine)	PSIP1P	PSIP1P1 - TTC39B	15104563	PSIP1P	rs10756650-A	rs10756650
Metabolite levels (Pyroglutamine)	TPD52	TPD52	80119587	TPD52	rs10957961-A	rs10957961
Metabolite levels (Pyroglutamine)	C9orf50	LINC00963 - NTMT1	129576791	C9orf50	rs10988428-G	rs10988428
Metabolite levels (Pyroglutamine)	PRTFDC1	PRTFDC1	24935533	PRTFDC1	rs11014306-C	rs11014306
Metabolite levels (Pyroglutamine)	CTNNA3	CTNNA3	66206816	CTNNA3	rs12251332-C	rs12251332
Metabolite levels (Pyroglutamine)	LOC729006	MTND5P4 - RPS7P6	17219610	LOC729006	rs12643440-C	rs12643440
Metabolite levels (Pyroglutamine)	FAM155A	FAM155A	107839244	FAM155A	rs1509091-C	rs1509091
Metabolite levels (Pyroglutamine)	LOC100130792	RPL29P27 - FAR2	28662859	LOC100130792	rs1606355-A	rs1606355
Metabolite levels (Pyroglutamine)	LOC729217	RPS15AP34 - CDH11	64601500	LOC729217	rs16967753-C	rs16967753
Metabolite levels (Pyroglutamine)	APCDD1	RNA5SP450 - LINC01254	10321350	APCDD1	rs206626-A	rs206626
Metabolite levels (Pyroglutamine)	MYO5A	MYO5A	52480826	MYO5A	rs2222656-A	rs2222656
Metabolite levels (Pyroglutamine)	SORCS1	SORCS1	106738320	SORCS1	rs2486152-A	rs2486152
Metabolite levels (Pyroglutamine)	CDK5RAP3	CDK5RAP3	47970290	CDK5RAP3	rs2597167-C	rs2597167
Metabolite levels (Pyroglutamine)	C3orf21	FAM43A - XXYLT1	195017144	C3orf21	rs2676917-G	rs2676917
Metabolite levels (Pyroglutamine)	DAP	DAP	10701402	DAP	rs3756407-A	rs3756407
Metabolite levels (Pyroglutamine)	LOC389370	HDGFL1 - RPL6P18	22709510	LOC389370	rs4712709-C	rs4712709
Metabolite levels (Pyroglutamine)	LOC100129535	COTL1P1 - TBC1D27	16913229	LOC100129535	rs4792793-C	rs4792793
Metabolite levels (Pyroglutamine)	ICA1	ICA1	8118257	ICA1	rs6463768-C	rs6463768
Metabolite levels (Pyroglutamine)	ANKRD6	ANKRD6	89589491	ANKRD6	rs6939321-C	rs6939321
Metabolite levels (Pyroglutamine)	SLC12A1	SLC12A1 - DUT	48305317	SLC12A1	rs964611-A	rs964611
Metabolite levels  (X-11787)	SLCO5A1	SLCO5A1	69768748	SLCO5A1	rs10090896-A	rs10090896
Metabolite levels  (X-11787)	LOC100131022	RBMX2P4 - RPL26P21	13400597	LOC100131022	rs10255329-C	rs10255329
Metabolite levels  (X-11787)	LOC138412	LINC01243 - HMGB3P23	31419917	LOC138412	rs10435736-C	rs10435736
Metabolite levels  (X-11787)	KC6	RPL17P45 - KC6	40640135	KC6	rs10502739-C	rs10502739
Metabolite levels  (X-11787)	GTF2E2	GTF2E2	30579335	GTF2E2	rs10503871-C	rs10503871
Metabolite levels  (X-11787)	DAB2IP	DAB2IP - TTLL11	121798574	DAB2IP	rs10818593-C	rs10818593
Metabolite levels  (X-11787)	CCL28	CCL28	43382756	CCL28	rs11951515-C	rs11951515
Metabolite levels  (X-11787)	CADPS	CADPS	62615691	CADPS	rs1231831-C	rs1231831
Metabolite levels  (X-11787)	PRKCE	PRKCE	45977900	PRKCE	rs13396424-G	rs13396424
Metabolite levels  (X-11787)	NAT8	NAT8	73641201	NAT8	rs13538-A	rs13538
Metabolite levels  (X-11787)	C20orf82	ISM1	13242211	C20orf82	rs1407335-A	rs1407335
Metabolite levels  (X-11787)	NRG1	NRG1	32282136	NRG1	rs1487141-C	rs1487141
Metabolite levels  (X-11787)	MS4A13	MS4A13 - LINC00301	60545390	MS4A13	rs1941027-C	rs1941027
Metabolite levels  (X-11787)	CDKN3	ATP5C1P1 - CDKN3	54257205	CDKN3	rs2143963-C	rs2143963
Metabolite levels  (X-11787)	LOC399774	PRKRIRP3 - MBL2	52582113	LOC399774	rs2222800-A	rs2222800
Metabolite levels  (X-11787)	LRRIQ3	KRT8P21 - LRRIQ3	73617352	LRRIQ3	rs2341263-C	rs2341263
Metabolite levels  (X-11787)	MGMT	LINC01163 - MGMT	129436108	MGMT	rs2388328-C	rs2388328
Metabolite levels  (X-11787)	CNTN1	CNTN1	40852478	CNTN1	rs312274-A	rs312274
Metabolite levels  (X-11787)	ZNF213	"ZNF213, ZNF213-AS1"	3135736	ZNF213	rs560947-C	rs560947
Metabolite levels  (X-11787)	LOC149844	FGFR3P3 - CASC20	6394813	LOC149844	rs6085533-A	rs6085533
Metabolite levels  (X-11787)	C18orf34	CCDC178	33418167	C18orf34	rs6507022-C	rs6507022
Metabolite levels  (X-11787)	ALMS1	ALMS1-IT1 - NAT8	73610828	ALMS1	rs6546857-A	rs6546857
Metabolite levels  (X-11787)	LPHN2	ADGRL2	81932860	LPHN2	rs6681544-C	rs6681544
Metabolite levels  (X-11787)	LOC729635	MTND4P13 - HMGB3P19	153913732	LOC729635	rs6900489-C	rs6900489
Metabolite levels  (X-11787)	COMMD10	COMMD10	116204876	COMMD10	rs7709377-A	rs7709377
Metabolite levels  (X-11787)	KIF13B	KIF13B	29097375	KIF13B	rs7844537-G	rs7844537
Metabolite levels  (X-11787)	CDH4	MIR548AG2 - CDH4	61190239	CDH4	rs860148-C	rs860148
Metabolite levels  (X-11787)	LOC100129158	EIF4EBP2P3 - POU3F2	98448791	LOC100129158	rs9321063-A	rs9321063
Metabolite levels  (X-11787)	DGKH	RPS28P8 - DGKH	42017703	DGKH	rs9532969-C	rs9532969
Metabolite levels (Dihydroxy docosatrienoic acid)	CACNA2D1	CACNA2D1 - MTHFD2P5	82485924	CACNA2D1	rs10262537-C	rs10262537
Metabolite levels (Dihydroxy docosatrienoic acid)	TRHDE	CHCHD3P2 - RPL31P48	72769371	TRHDE	rs10879490-A	rs10879490
Metabolite levels (Dihydroxy docosatrienoic acid)	PVT1	MIR1208 - LINC00824	128268703	PVT1	rs11775199-A	rs11775199
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC100130177	MARK2P11 - EBF1	158256517	LOC100130177	rs11957368-C	rs11957368
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC100129465	ADARB2-AS1 - LINC00700	1855784	LOC100129465	rs12360000-A	rs12360000
Metabolite levels (Dihydroxy docosatrienoic acid)	AAK1	AAK1	69586326	AAK1	rs12987661-C	rs12987661
Metabolite levels (Dihydroxy docosatrienoic acid)	CYCSP8	CYCSP8 - ARHGEF4	130787619	CYCSP8	rs13395546-A	rs13395546
Metabolite levels (Dihydroxy docosatrienoic acid)	DKK3	USP47 - DKK3	11962338	DKK3	rs1472189-C	rs1472189
Metabolite levels (Dihydroxy docosatrienoic acid)	SLC44A3	SLC44A3	94868631	SLC44A3	rs17520351-C	rs17520351
Metabolite levels (Dihydroxy docosatrienoic acid)	C15orf54	C15orf54	39251745	C15orf54	rs17691453-C	rs17691453
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC100130247	COX6CP3 - LINC00470	1206983	LOC100130247	rs1826508-C	rs1826508
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC121906	PSMA6P4 - RPL7AP61	97548318	LOC121906	rs2770228-A	rs2770228
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC729146	MIR196A1 - RPL9P28	48680213	LOC729146	rs3096644-G	rs3096644
Metabolite levels (Dihydroxy docosatrienoic acid)	SHB	SHB	37916411	SHB	rs3747547-C	rs3747547
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC100130231	TRIB1 - LINC00861	125855261	LOC100130231	rs4006531-A	rs4006531
Metabolite levels (Dihydroxy docosatrienoic acid)	NUP98	NUP98	3701074	NUP98	rs685782-C	rs685782
Metabolite levels (Dihydroxy docosatrienoic acid)	TUSC1	IZUMO3 - TUSC1	25414053	TUSC1	rs7021404-C	rs7021404
Metabolite levels (Dihydroxy docosatrienoic acid)	LOC727977	EYS	64952728	LOC727977	rs7767572-A	rs7767572
Metabolite levels (Dihydroxy docosatrienoic acid)	PSMD6	PSMD6 - PRICKLE2-AS1	64043707	PSMD6	rs831574-A	rs831574
Metabolite levels (Dihydroxy docosatrienoic acid)	BNC2	C9orf92 - BNC2	16385134	BNC2	rs9406636-A	rs9406636
Blood pressure (smoking interaction)	LOC729336	SIPA1L2	232533526	LOC729336	rs11589828-?	rs11589828
Blood pressure (smoking interaction)	LRP1B	LRP1B	141164219	LRP1B	rs1033284-?	rs1033284
Blood pressure (smoking interaction)	LRP2	LRP2	169237659	LRP2	rs2268365-?	rs2268365
Blood pressure (smoking interaction)	FLJ45964	MIR2467 - LOC401040	239522525	FLJ45964	rs11679072-?	rs11679072
Blood pressure (smoking interaction)	CNTN4	CNTN4	2444285	CNTN4	rs9878978-?	rs9878978
Blood pressure (smoking interaction)	MECOM	MECOM	169312191	MECOM	rs12634933-?	rs12634933
Blood pressure (smoking interaction)	PRKG2	PRKG2	81204967	PRKG2	rs17484474-?	rs17484474
Blood pressure (smoking interaction)	RPS6KA2	RPS6KA2	166850613	RPS6KA2	rs4710117-?	rs4710117
Blood pressure (smoking interaction)	"FOXP2, PPP1R3A"	FOXP2	114358191	"FOXP2, PPP1R3A"	rs12705959-?	rs12705959
Blood pressure (smoking interaction)	TRAPPC9	TRAPPC9	140394230	TRAPPC9	rs7823724-?	rs7823724
Blood pressure (smoking interaction)	ADARB2	ADARB2	1594941	ADARB2	rs6560743-?	rs6560743
Blood pressure (smoking interaction)	OPCML	OPCML	133169304	OPCML	rs7104871-?	rs7104871
Blood pressure (smoking interaction)	CACNA2D4	CACNA2D4	1792998	CACNA2D4	rs2286379-?	rs2286379
Blood pressure (smoking interaction)	"TNFRSF19, SACS"	LINC00327	23470205	"TNFRSF19, SACS"	rs2297585-?	rs2297585
Blood pressure (smoking interaction)	FRY	FRY	32053511	FRY	rs9533282-?	rs9533282
Blood pressure (smoking interaction)	CYB5B	CYB5B	69463300	CYB5B	rs12149862-?	rs12149862
Blood pressure (smoking interaction)	ZSWIM7	ZSWIM7	15996361	ZSWIM7	rs7211756-?	rs7211756
Blood pressure (smoking interaction)	intergenic	LINC01029 - SALL3	78734592	intergenic	rs4573996-?	rs4573996
Blood pressure (smoking interaction)	MN1	RPL15P22 - MN1	27626764	MN1	rs133980-?	rs133980
Blood pressure (smoking interaction)	LOC200810	ALG1L	125930560	LOC200810	rs7615952-?	rs7615952
Blood pressure (smoking interaction)	LOC200810	ALG1L	125930560	LOC200810	rs7615952-?	rs7615952
B-type natriuretic peptide	NPPB	NPPB	11859214	NPPB	rs198389-G	rs198389
B-type natriuretic peptide	KLKB1	KLKB1	186236880	KLKB1	rs3733402-G	rs3733402
Asymmetrical dimethylarginine levels	DDAH1	DDAH1	85331427	DDAH1	rs28489187-G	rs28489187
Asymmetrical dimethylarginine levels	intergenic	MIR4431 - ASB3	52722180	intergenic	rs1349882-T	rs1349882
Asymmetrical dimethylarginine levels	intergenic	CLCA1 - CLCA4	86537789	intergenic	rs11161841-A	rs11161841
Asymmetrical dimethylarginine levels	intergenic	PYGB	25286264	intergenic	rs139672965-A	rs139672965
Asymmetrical dimethylarginine levels	intergenic	RNF103-CHMP3	86633508	intergenic	rs114532231-T	rs114532231
Asymmetrical dimethylarginine levels	intergenic	UBQLN4P2 - ATP5F1P4	152892854	intergenic	rs78683678-T	rs78683678
Asymmetrical dimethylarginine levels	intergenic	RPL21P17 - CNTN4	1992671	intergenic	rs2729313-T	rs2729313
Asymmetrical dimethylarginine levels	intergenic	PTMAP8 - IGSF11	117524949	intergenic	rs72951640-T	rs72951640
Asymmetrical dimethylarginine levels	intergenic	CISD2	102881008	intergenic	rs78640361-T	rs78640361
Asymmetrical dimethylarginine levels	intergenic	AGXT2	35039381	intergenic	rs37370-T	rs37370
Asymmetrical dimethylarginine levels	intergenic	HAVCR1 - HAVCR2	157079641	intergenic	rs193098517-A	rs193098517
Asymmetrical dimethylarginine levels	intergenic	OFCC1	9937127	intergenic	rs149747749-A	rs149747749
Asymmetrical dimethylarginine levels	intergenic	CACNA2D1	82138856	intergenic	rs117576300-A	rs117576300
Asymmetrical dimethylarginine levels	intergenic	PEBP4	22786194	intergenic	rs12155789-G	rs12155789
Asymmetrical dimethylarginine levels	intergenic	LINC01163 - MGMT	128584974	intergenic	rs193189882-A	rs193189882
Asymmetrical dimethylarginine levels	intergenic	TMEM26	61432656	intergenic	rs7088627-A	rs7088627
Asymmetrical dimethylarginine levels	intergenic	CAMK1D	12830881	intergenic	rs2431623-G	rs2431623
Asymmetrical dimethylarginine levels	intergenic	ART2P - PDE2A	72564865	intergenic	rs183778342-A	rs183778342
Asymmetrical dimethylarginine levels	intergenic	HSPE1P5 - CDH1	68723866	intergenic	rs192253604-A	rs192253604
Asymmetrical dimethylarginine levels	intergenic	ZNF536	30544779	intergenic	rs10418356-G	rs10418356
Asymmetrical dimethylarginine levels	NR	RNA5SP433 - WFDC1	84276793	NR	rs138642423-G	rs138642423
Echocardiographic traits	SPACA1	AKIRIN2 - SPACA1	88008048	SPACA1	rs366676-?	rs366676
Pulmonary function	SNRPN	SNRPN	24833640	SNRPN	rs3867498-?	rs3867498
