Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	9p21.3[rs1333048]; 9p21.3[rs1333049] / 9p21.3	9	22125504	CDKN2BAS	UBA52P6 - DMRTA1	100130239	63951		112966	321337	rs1333049-C	rs1333049		1333049		1	NR	3.0000000000000003E-56	55.52287874528034		1.24	[1.21-1.28]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	6p24.1	6	12901209	PHACTR1	PHACTR1			221692			rs9369640-C	rs9369640		9369640	intron	0	NR	3.0E-11	10.522878745280337		1.0989	[1.08-1.14]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	19p13.2	19	11052925	LDLR, SMARCA4	SMARCA4			6597			rs1122608-T	rs1122608		1122608	intron	0	NR	3.0E-11	10.522878745280337		1.1364	[1.09-1.18]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	21q22.11	21	34226827	KCNE2	LINC00310 - KCNE2	114036	9992		36908	137197	rs9982601-T	rs9982601		9982601		1	NR	3.0E-10	9.522878745280337		1.18	[1.12-1.24]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	7q32.2	7	130023656	ZC3HC1	ZC3HC1			51530			rs11556924-T	rs11556924		11556924	missense	0	NR	3.0E-10	9.522878745280337		1.0989	[1.06-1.12]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	6q23.2	6	133893387	TCF21	TCF21			6943			rs12190287-G	rs12190287		12190287	UTR-3	0	NR	2.0E-9	8.698970004336019		1.1111	[1.08-1.15]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	1p32.2	1	56497149	PPAP2B	PPAP2B			8613			rs17114036-G	rs17114036		17114036	intron	0	NR	1.0E-8	8.0		1.1494	[1.1-1.22]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	1p13.3	1	109278889	SORT1	CELSR2 - PSRC1	1952	84722		3133	665	rs602633-T	rs602633		602633		1	NR	1.0E-8	8.0		1.1111	[1.08-1.15]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	2q33.2	2	202881162	WDR12	WDR12			55759			rs6725887-C	rs6725887		6725887	intron	0	NR	2.0E-8	7.698970004336019		1.14	[1.10-1.19]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	15q25.1	15	78849442	ADAMTS7	ADAMTS7 - TRK-CTT1-2	11173	100189013		37979	11120	rs7173743-C	rs7173743		7173743		1	NR	7.0E-8	7.154901959985743		1.0753	[1.05-1.11]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	3q22.3	3	138403280	MRAS	MRAS			22808			rs9818870-T	rs9818870		9818870	UTR-3	0	NR	1.0E-7	7.0		1.11	[1.07-1.15]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	17p13.3	17	2214651	SMG6	SMG6			23293			rs2281727-G	rs2281727		2281727	intron	0	NR	1.0E-7	7.0		1.07	[1.04-1.10]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	17p11.2	17	17640408	RASD1, PEMT, RAI1	EEF1A1P43 - RAI1	1918	10743		54261	41065	rs12936587-A	rs12936587		12936587		1	NR	2.0E-7	6.698970004336019		1.0753	[1.04-1.11]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	9q34.2	9	133278724	ABO	ABO - SURF6	28	6838		3510	51983	rs579459-C	rs579459		579459		1	NR	2.0E-7	6.698970004336019		1.1	[1.06-1.14]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	8p21.3	8	19955669	LPL	LPL			4023			rs264-A	rs264		264	intron	0	NR	3.0E-7	6.522878745280337		1.1111	[1.06-1.15]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	11q23.3	11	116741017	ZNF259, APOA1, APO5A	RPL15P15 - BUD13	100128347	84811		790216	7153	rs9326246-C	rs9326246		9326246		1	NR	3.0E-7	6.522878745280337		1.15	[1.09-1.21]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	12q24.12	12	111446804	SH2B3	SH2B3			10019			rs3184504-T	rs3184504		3184504	missense	0	NR	9.0E-7	6.045757490560675		1.07	[1.04-1.11]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	4q31.22	4	147472512	EDNRA	PRMT5P1 - EDNRA	100420927	1909		13191	8405	rs1878406-T	rs1878406		1878406		1	NR	1.0E-6	6.0		1.1	[1.06-1.14]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	10q24.32	10	102959339	NT5C2, CNNM2, CYP17A1	CNNM2			54805			rs12413409-A	rs12413409		12413409	intron	0	NR	1.0E-6	6.0		1.1236	[1.08-1.19]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	6q25.3[rs2048327]; 6q25.3[rs3127599] / 6q25.3	6	160442500	SLC22A3, LPAL2, LPA	SLC22A3			6581			rs2048327-C	rs2048327		2048327	intron	0	NR	1.0E-6	6.0		1.07	[1.05-1.10]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	10q11.21	10	44258419	CXCL12	LINC00841 - CXCL12	283033	6387		288512	111734	rs501120-C	rs501120		501120		1	NR	2.0E-6	5.698970004336019		1.087	[1.05-1.14]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	13q34	13	110308365	COL4A1, COL4A2							rs4773144-G	rs4773144		4773144	nearGene-5;intron	0	NR	2.0E-6	5.698970004336019		1.08	[1.05-1.12]	Illumina [575,000] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease	33,398 cases, 75,726 controls	NA	6p21.31	6	34930678	ANKS1A	ANKS1A			23294			rs12205331-T	rs12205331		12205331	intron	0	NR	6.0E-6	5.221848749616356		1.0753	[1.04-1.11]	Illumina [575,000] (imputed)
	21239051	Reilly MP	2011-01-14	Lancet	www.ncbi.nlm.nih.gov/pubmed/21239051	Identification of ADAMTS7 as a novel locus for coronary atherosclerosis and association of ABO with myocardial infarction in the presence of coronary atherosclerosis: two genome-wide association studies.	Coronary artery disease	1,808 European ancestry cases, 915 European ancestry controls	10,585 European ancestry cases, 6,468 European ancestry controls	1p13.3	1	109275908	SORT1	CELSR2			1952			rs646776-T	rs646776		646776	nearGene-3	0	0.79	8.0E-11	10.096910013008056		1.33	[1.22-1.44]	Affymetrix & Illumina [>2.4 million] (imputed)
	21239051	Reilly MP	2011-01-14	Lancet	www.ncbi.nlm.nih.gov/pubmed/21239051	Identification of ADAMTS7 as a novel locus for coronary atherosclerosis and association of ABO with myocardial infarction in the presence of coronary atherosclerosis: two genome-wide association studies.	Coronary artery disease	1,808 European ancestry cases, 915 European ancestry controls	10,585 European ancestry cases, 6,468 European ancestry controls	9p21.3 / 9p21.3[rs4977574]; 9p21.3[rs1333049]	9	22098575	ANRIL, CDKN2A, CDKN2B	CDKN2B-AS1			100048912			rs4977574-G	rs4977574		4977574	intron	0	0.53	5.0E-14	13.301029995663981		1.3	[1.22-1.39]	Affymetrix & Illumina [>2.4 million] (imputed)
	22174390	Rankinen T	2011-12-15	J Appl Physiol (1985)	www.ncbi.nlm.nih.gov/pubmed/22174390	Heritability of submaximal exercise heart rate response to exercise training is accounted for by nine SNPs.	Heart rate variability traits	472 European ancestry individuals from 99 families	NA	2p25.1	2	9581767	YWHAQ	ADAM17 - YWHAQ	6868	10971		25979	2200	rs6432018-?	rs6432018		6432018		1	NR	8.0E-7	6.096910013008056				Illumina [320,000]
	22174390	Rankinen T	2011-12-15	J Appl Physiol (1985)	www.ncbi.nlm.nih.gov/pubmed/22174390	Heritability of submaximal exercise heart rate response to exercise training is accounted for by nine SNPs.	Heart rate variability traits	472 European ancestry individuals from 99 families	NA	8p12	8	30405270	RBPMS	RBPMS			11030			rs2979481-?	rs2979481		2979481	intron	0	NR	4.0E-6	5.3979400086720375				Illumina [320,000]
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	14q11.2	14	23392602	MYH6	MYH6			4624			rs365990-G	rs365990		365990	missense	0	0.353	5.0E-45	44.30102999566398		0.564	[0.47-0.66]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	1q32.2	1	207767508	CD46	CD46			4179			rs11118555-A	rs11118555		11118555	intron	0	0.124	4.0E-26	25.397940008672037		0.612	[0.48-0.75]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	11q12.2	11	61803910	FADS1	FADS1			3992			rs174549-A	rs174549		174549	intron	0	0.31	1.0E-22	22.0		0.358	[0.27-0.45]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	20q11.23	20	38215636	KIAA1755	KIAA1755			85449			rs6127471-C	rs6127471		6127471	intron	0	0.54	5.0E-29	28.30102999566398		0.429	[0.34-0.52]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	2q31.2	2	178856319	CCDC141	CCDC141			285025			rs17362588-A	rs17362588		17362588	missense	0	0.114	4.0E-26	25.397940008672037		0.736	[0.59-0.89]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	12p11.1	12	33424055	SYT10	SYT10			341359			rs7980799-A	rs7980799		7980799	intron	0	0.401	5.999999999999999E-24	23.221848749616356		0.377	[0.29-0.47]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	7q21.3	7	93920284	GNG11	GNG11			2791			rs180242-T	rs180242		180242	nearGene-5	0	0.333	7.0E-12	11.154901959985743		0.316	[0.21-0.42]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	3q26.31	3	172067378	FNDC3B	FNDC3B			64778			rs9647379-C	rs9647379		9647379	intron	0	0.4	1.0E-9	9.0		0.206	[0.11-0.30]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	12q12	12	38712929	CPNE8	CPNE8			144402			rs826838-C	rs826838		826838	intron	0	0.443	4.0E-9	8.397940008672037		0.234	[0.15-0.32]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	2q32.1	2	187468337	TFPI	TFPI			7035			rs4140885-A	rs4140885		4140885	intron	0	0.317	5.0E-8	7.301029995663981		0.217	[0.12-0.31]	Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	16p13.3	16	6846127	A2BP1	RBFOX1			54715			rs11645781-G	rs11645781		11645781	intron	0	0.696	2.0E-7	6.698970004336019				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	5q31.2	5	137859073	MYOT	LOC101928005			101928005			rs7722600-A	rs7722600		7722600	ncRNA	0	0.815	3.0E-7	6.522878745280337				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	2q31.2	2	177815704	PDE11A	PDE11A			50940			rs13413635-G	rs13413635		13413635	intron	0	0.033	3.0E-7	6.522878745280337				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	12q24.11	12	110717726	PPP1CC	PPP1CC			5501			rs11065706-T	rs11065706		11065706	intron	0	0.756	6.0E-7	6.221848749616356				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	6p21.2	6	36824281	CPNE5	CPNE5			57699			rs236373-C	rs236373		236373	intron	0	0.727	9.0E-7	6.045757490560675				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	19q13.2	19	38697472	ACTN4	ACTN4			81			rs11083475-G	rs11083475		11083475	intron	0	0.537	2.0E-6	5.698970004336019				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	4q31.22	4	146578186	SLC10A7	MIR7849 - POU4F2	102465837	5458		169498	60707	rs10213084-G	rs10213084		10213084		1	0.869	4.0E-6	5.3979400086720375				Illumina and Affymetrix [2,516,789] (Imputed)
	23583979	den Hoed M	2013-04-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	3p21.1	3	53344218	DCP1A	DCP1A			55802			rs2029213-C	rs2029213		2029213	intron	0	0.639	7.0E-6	5.154901959985743				Illumina and Affymetrix [2,516,789] (Imputed)
	20062063	Holm H	2010-01-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20062063	Several common variants modulate heart rate, PR interval and QRS duration.	Electrocardiographic traits	Up to 12,670 European ancestry individuals	Up to 10,352 European ancestry individuals	14q11.2	14	23392602	MYH6	MYH6			4624			rs365990-G	rs365990		365990	missense	0	0.34	9.0E-11	10.045757490560675	(HR)	5.25	[3.66-6.83]	Illumina [306,060]
	23708190	Hu Z	2013-05-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23708190	A genome-wide association study identifies two risk loci for congenital heart malformations in Han Chinese populations.	Congenital heart malformation	945 Han Chinese ancestry cases, 1,246 Han Chinese ancestry controls	2,160 Han Chinese ancestry cases, 3,866 Han Chinese ancestry controls	1p12	1	118360355	TBX15, SPAG17	RNA5SP56 - PSMC1P12	100873294	644094		95866	253757	rs2474937-C	rs2474937		2474937		1	0.08	8.0E-10	9.096910013008056		1.4	[1.26-1.56]	Illumina [708,275]
	23708190	Hu Z	2013-05-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23708190	A genome-wide association study identifies two risk loci for congenital heart malformations in Han Chinese populations.	Congenital heart malformation	945 Han Chinese ancestry cases, 1,246 Han Chinese ancestry controls	2,160 Han Chinese ancestry cases, 3,866 Han Chinese ancestry controls	4q31.1	4	139874173	MAML3	MAML3			55534			rs1531070-A	rs1531070		1531070	intron	0	0.11	5.0E-12	11.301029995663981		1.4	[1.27-1.54]	Illumina [708,275]
	21378988	The Coronary Artery Disease (C4D) Genetics Consortium	2011-03-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21378988	A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.	Coronary heart disease	8,424 European ancestry cases, 7,268 European ancestry controls, 6,996 South Asian ancestry cases, 7,794 South Asian ancestry controls	18,049 European ancestry cases, 16,357 European ancestry controls, 3,359 South Asian ancestry cases, 2,828 South Asian ancestry controls	1p13.3	1	109275908	CELSR2, PSRC1, SORT1	CELSR2			1952			rs646776-T	rs646776		646776	nearGene-3	0	NR	6.0E-10	9.221848749616356		1.14	[1.09-1.19]	Illumina [574,919]
	21378988	The Coronary Artery Disease (C4D) Genetics Consortium	2011-03-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21378988	A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.	Coronary heart disease	8,424 European ancestry cases, 7,268 European ancestry controls, 6,996 South Asian ancestry cases, 7,794 South Asian ancestry controls	18,049 European ancestry cases, 16,357 European ancestry controls, 3,359 South Asian ancestry cases, 2,828 South Asian ancestry controls	15q25.1	15	78818751	ADAMTS7, MORF4L1	ADAMTS7 - TRK-CTT1-2	11173	100189013		7288	41811	rs4380028-C	rs4380028		4380028		1	0.65	4.0E-9	8.397940008672037		1.07	[1.05-1.10]	Illumina [574,919]
	22666496	Shiffman D	2012-05-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22666496	Genome-wide study of gene variants associated with differential cardiovascular event reduction by pravastatin therapy.	Coronary heart disease event reduction in response to statin therapy (interaction)	682 European, African American, Hispanic, Asian, Pacific Islander and other ancestry cases with events, 383 cases with events	29 European, African American, Hispanic, Asian, Pacific Islander and other ancestry cases with events, 2,398 European, African American, Hispanic, Asian, Pacific Islander and other ancestry cases without events, 729 cases with events, 9,563 cases without events	8q13.1	8	66062017	DNAJC5B, TRIM55, CRH	DNAJC5B			85479			rs13279522-?	rs13279522		13279522	intron	0	NR	5.0E-7	6.301029995663981		1.59	[1.33-1.92]	Illumina [~1.4 Million]
	17903304	Larson MG	2007-09-18	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903304	Framingham Heart Study 100K project: genome-wide associations for cardiovascular disease outcomes.	Major CVD	142 cases and 1,203 controls from 310 families	NA	6p24.1	6	13332235	intergenic	TBC1D7 - GFOD1	51256	54438		3652	31120	rs499818-?	rs499818		499818		1	NR	7.0E-6	5.154901959985743	(major CVD)			Affymetrix[70,897]
	23183192	Deo R	2012-11-23	Heart Rhythm	www.ncbi.nlm.nih.gov/pubmed/23183192	Common genetic variation near the connexin-43 gene is associated with resting heart rate in African Americans: a genome-wide association study of 13,372 participants.	Resting heart rate	13,372 African American individuals		6q22.31	6	121793305	GJA1, HMGB3P18	RPL23AP48 - HMGB3P18	728567	644502		112846	64877	rs9320841-?	rs9320841		9320841		1	NR	5.000000000000001E-15	14.301029995663981	Random effects analysis	13.0	[9.67-16.33]	Illumina & Affymetrix [2,954,965] (imputed)
	23183192	Deo R	2012-11-23	Heart Rhythm	www.ncbi.nlm.nih.gov/pubmed/23183192	Common genetic variation near the connexin-43 gene is associated with resting heart rate in African Americans: a genome-wide association study of 13,372 participants.	Resting heart rate	13,372 African American individuals		14q11.2	14	23396676	MYH6	MYH6			4624			rs452036-G	rs452036		452036	intron	0	0.38	8.0E-7	6.096910013008056	Fixed effects analysis	9.6	[5.68-13.52]	Illumina & Affymetrix [2,954,965] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease or ischemic stroke	12,389 Ischemic stroke cases, 22,233 Coronary artery disease cases, ~ 88,766 controls	NA	9p21.3[rs1333048]; 9p21.3[rs1333049] / 9p21.3	9	22125504	CDKN2BAS	UBA52P6 - DMRTA1	100130239	63951		112966	321337	rs1333049-?	rs1333049		1333049		1		1.0E-56	56.0				Affymetrix & Illumina [up to 2.5 million] (imputed)
	24262325	Dichgans M	2013-11-21	Stroke	www.ncbi.nlm.nih.gov/pubmed/24262325	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	Coronary artery disease or ischemic stroke	12,389 Ischemic stroke cases, 22,233 Coronary artery disease cases, ~ 88,766 controls	NA	12q24.12	12	111634620	SH2B3	ATXN2 - BRAP	6311	8315		34944	7526	rs11065987-?	rs11065987		11065987		1		4.0E-14	13.397940008672037				Affymetrix & Illumina [up to 2.5 million] (imputed)
